"name","league","primary","secondary","tertiary","logo_url"
"Atlanta Hawks","nba","#e13a3e","#c4d600","#061922","https://www.nba.com/stats/media/img/teams/logos/ATL_logo.svg"
"Boston Celtics","nba","#008348","#bb9753","#a73832","https://www.nba.com/stats/media/img/teams/logos/BOS_logo.svg"
"Brooklyn Nets","nba","#061922",NA,NA,"https://www.nba.com/stats/media/img/teams/logos/BKN_logo.svg"
"Charlotte Hornets","nba","#1d1160","#008ca8","#a1a1a4","https://www.nba.com/stats/media/img/teams/logos/CHA_logo.svg"
"Chicago Bulls","nba","#ce1141","#061922",NA,"https://www.nba.com/stats/media/img/teams/logos/CHI_logo.svg"
"Cleveland Cavaliers","nba","#860038","#fdbb30","#002d62","https://www.nba.com/stats/media/img/teams/logos/CLE_logo.svg"
"Dallas Mavericks","nba","#007dc5","#c4ced3","#061922","https://www.nba.com/stats/media/img/teams/logos/DAL_logo.svg"
"Denver Nuggets","nba","#4d90cd","#fdb927","#0f586c","https://www.nba.com/stats/media/img/teams/logos/DEN_logo.svg"
"Detroit Pistons","nba","#ed174c","#006bb6","#0f586c","https://www.nba.com/stats/media/img/teams/logos/DET_logo.svg"
"Golden State Warriors","nba","#fdb927","#006bb6","#26282a","https://www.nba.com/stats/media/img/teams/logos/GSW_logo.svg"
"Houston Rockets","nba","#ce1141","#c4ced3","#061922","https://www.nba.com/stats/media/img/teams/logos/HOU_logo.svg"
"Indiana Pacers","nba","#ffc633","#00275d","#bec0c2","https://www.nba.com/stats/media/img/teams/logos/IND_logo.svg"
"Los Angeles Clippers","nba","#ed174c","#006bb6","#061922","https://www.nba.com/stats/media/img/teams/logos/LAC_logo.svg"
"Los Angeles Lakers","nba","#fdb927","#552582","#061922","https://www.nba.com/stats/media/img/teams/logos/LAL_logo.svg"
"Memphis Grizzlies","nba","#0f586c","#7399c6","#bed4e9","https://www.nba.com/stats/media/img/teams/logos/MEM_logo.svg"
"Miami Heat","nba","#98002e","#f9a01b","#061922","https://www.nba.com/stats/media/img/teams/logos/MIA_logo.svg"
"Milwaukee Bucks","nba","#00471b","#f0ebd2","#061922","https://www.nba.com/stats/media/img/teams/logos/MIL_logo.svg"
"Minnesota Timberwolves","nba","#005083","#00a94f","#c4ced3","https://www.nba.com/stats/media/img/teams/logos/MIN_logo.svg"
"New Orleans Pelicans","nba","#002b5c","#e31837","#b4975a","https://www.nba.com/stats/media/img/teams/logos/NOP_logo.svg"
"New York Knicks","nba","#006bb6","#f58426","#bec0c2","https://www.nba.com/stats/media/img/teams/logos/NYK_logo.svg"
"Oklahoma City Thunder","nba","#007dc3","#f05133","#fdbb30","https://www.nba.com/stats/media/img/teams/logos/OKC_logo.svg"
"Orlando Magic","nba","#007dc5","#c4ced3","#061922","https://www.nba.com/stats/media/img/teams/logos/ORL_logo.svg"
"Philadelphia 76ers","nba","#ed174c","#006bb6","#002b5c","https://www.nba.com/stats/media/img/teams/logos/PHI_logo.svg"
"Phoenix Suns","nba","#e56020","#1d1160","#63717a","https://www.nba.com/stats/media/img/teams/logos/PHX_logo.svg"
"Portland Trail Blazers","nba","#e03a3e","#bac3c9","#061922","https://www.nba.com/stats/media/img/teams/logos/POR_logo.svg"
"Sacramento Kings","nba","#724c9f","#8e9090","#061922","https://www.nba.com/stats/media/img/teams/logos/SAC_logo.svg"
"San Antonio Spurs","nba","#bac3c9","#061922",NA,"https://www.nba.com/stats/media/img/teams/logos/SAS_logo.svg"
"Toronto Raptors","nba","#ce1141","#061922","#a1a1a4","https://www.nba.com/stats/media/img/teams/logos/TOR_logo.svg"
"Utah Jazz","nba","#002b5c","#f9a01b","#00471b","https://www.nba.com/stats/media/img/teams/logos/UTA_logo.svg"
"Washington Wizards","nba","#002b5c","#e31837","#c4ced4","https://www.nba.com/stats/media/img/teams/logos/WAS_logo.svg"
